"","x"
"84","@MaryRuth58 @smidge9099 @LadyChesapeake @jim_lewis1018 @WhiteHouse @BIGSEXYYT  https://t.co/tx2RREm3Oo"
"85","@MillennialStorm @VikingBearGod @LockDemsUp @lilhobo17 @loudmouthdad @JoanneColombo @1_bammom @joshdcaplan… https://t.co/0aUXJNyD21"
"86","@Tengis65 @MrsDawnK does the world Bollard association still follow you? Stopped with me cos I’m not bollardy enoug… https://t.co/4tIk1lggZo"
"87","#Mueller’s cooperating witness against #Trump convicted for child pornography

April 7, 2018… https://t.co/Gf4qq4iK0I"
"88","https://t.co/RAlcMiFglL"
"89","@raorups @RealJamesWoods @TrickyN03859925 @facebook @WhiteHouse The ""Head of the Snake""  will be lopped off. But th… https://t.co/yCeJByTtWK"
"90","@NacumbeaOlathe @RodStryker @MrEdTrain @realDonaldTrump @WhiteHouse @GOP @PressSec @KellyannePolls Parents don’t le… https://t.co/vmRJKTA5HK"
"91","@CDNResistance @NotWinning666 and these losers enable this cretin!

@SenateMajLdr @SenateGOP @SpeakerRyan @HouseGOP… https://t.co/gB1yiC6E0W"
"92",".@realDonaldTrump .@POTUS .@VP .@WhiteHouse .@PressSec .@WHNSC .@StateDept .@statedeptspox .@Cabinet .@GOP .… https://t.co/O5hpCKhMbh"
"93","@NoticiasCaracol @ABC @usarmy @usaairforce @GobiernoUSA @WhiteHouse @BBCBreaking @bbcmundo @euronewses @tve_tve… https://t.co/UECLL5VDO9"
"94","@SwankCarpent @RealJamesWoods @TrickyN03859925 @facebook @WhiteHouse Oh ok ! Which policies particularly have impre… https://t.co/YDstDBBAHi"
"95","@McAndrewRants @madasednam @goodbye56789 @realDonaldTrump @POTUS @WhiteHouse @PressSec @VP @thehill No such thing a… https://t.co/iEc4hkUAf0"
"96","@Allthatjewelry @smidge9099 @LadyChesapeake @jim_lewis1018 @WhiteHouse @BIGSEXYYT Huh?"
"97","@HeatherHale88 @WhiteHouse @StateDept Hee hee! Lost yo mind haven't ya? #SHELOSTGETOVERIT"
"98","@Allthatjewelry @MaryRuth58 @smidge9099 @LadyChesapeake @jim_lewis1018 @WhiteHouse @BIGSEXYYT learn how to construc… https://t.co/tgOIqa58wB"
"99","@HuntsmanAbby @edhenry @EPAScottPruitt @realDonaldTrump @Reince @PeteHegseth @IvankaTrump @EricTrump… https://t.co/P3ijdLzUy4"
"100","@realDonaldTrump Are #MSM just making this up, or are there still leakers in the @WhiteHouse spreading lies?… https://t.co/SV9cwo5ezE"
"101","@MillennialStorm @VikingBearGod @LockDemsUp @lilhobo17 @loudmouthdad @JoanneColombo @1_bammom @joshdcaplan… https://t.co/U6nHFbacuR"
